LocationGeoid,PeerGeoid1,PeerGeoid2,PeerGeoid3,PeerGeoid4,PeerGeoid5,PeerGeoid6,PeerGeoid7,PeerGeoid8,PeerGeoid9,PeerGeoid10,PeerGeoid11,PeerGeoid12,PeerGeoid13,PeerGeoid14,PeerGeoid15,PeerGeoid16
16000US0639496,16000US1823278,16000US0678582,16000US0812815,16000US4841980,16000US0613214,16000US2751730,16000US4801924,16000US0636770,16000US0600562,16000US3710740,16000US4856348,16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284
16000US1823278,16000US0678582,16000US0812815,16000US4841980,16000US0613214,16000US2751730,16000US4801924,16000US0636770,16000US0600562,16000US3710740,16000US4856348,16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088
16000US0678582,16000US0812815,16000US4841980,16000US0613214,16000US2751730,16000US4801924,16000US0636770,16000US0600562,16000US3710740,16000US4856348,16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016
16000US0812815,16000US4841980,16000US0613214,16000US2751730,16000US4801924,16000US0636770,16000US0600562,16000US3710740,16000US4856348,16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535
16000US4841980,16000US0613214,16000US2751730,16000US4801924,16000US0636770,16000US0600562,16000US3710740,16000US4856348,16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400
16000US0613214,16000US2751730,16000US4801924,16000US0636770,16000US0600562,16000US3710740,16000US4856348,16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000
16000US2751730,16000US4801924,16000US0636770,16000US0600562,16000US3710740,16000US4856348,16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154
16000US4801924,16000US0636770,16000US0600562,16000US3710740,16000US4856348,16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120
16000US0636770,16000US0600562,16000US3710740,16000US4856348,16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016
16000US0600562,16000US3710740,16000US4856348,16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000
